"--large-name302--","AppleBundle(BuildRuleParams,SourcePathResolver,Either<AppleBundleExtension,String>,SourcePath,Map<String,String>,Optional<BuildRule>,AppleBundleDestinations,Set<SourcePath>,Set<SourcePath>,Set<SourcePath>,ImmutableMap<SourcePath,String>,Optional<ImmutableSet<SourcePath>>,Tool,Tool,Tool,Optional<AppleAssetCatalog>,Set<BuildTarget>,AppleSdk,CodeSignIdentityStore,Optional<Path>,DebugInfoFormat)"
"--large-name13--","switchWithHighRegister(int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int)"
"--large-name228--","createSharedLibrary(TargetGraph,BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMap<String,SourcePath>,ImmutableMap<String,SourcePath>,ImmutableMultimap<CxxSource.Type,String>,ImmutableMultimap<CxxSource.Type,String>,Optional<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableList<String>,ImmutableSet<Path>,Optional<String>,CxxPreprocessMode,Optional<Linker.CxxRuntimeType>,Linker.LinkType,Linker.LinkableDepType,Optional<SourcePath>)"
"--large-name23--","AndroidBinaryRule(BuildRuleParams,SourcePath,String,ImmutableSortedSet<BuildRule>,Keystore,PackageType,Set<JavaLibraryRule>,DexSplitMode,boolean,Optional<Integer>,Optional<SourcePath>,ResourceCompressionMode,Set<TargetCpuType>,Path,FilteredResourcesProvider,UberRDotJava,Optional<PackageStringAssets>,AaptPackageResources,Optional<PreDexMerge>,Optional<ComputeExopackageDepsAbi>,boolean,Set<BuildRule>,Optional<String>,AndroidResourceDepsFinder)"
"--large-name346--","AppleBundle(BuildRuleParams,SourcePathResolver,Either<AppleBundleExtension,String>,Optional<String>,SourcePath,Map<String,String>,Optional<BuildRule>,AppleBundleDestinations,Set<SourcePath>,Set<SourcePath>,Set<SourcePath>,ImmutableMap<SourcePath,String>,Optional<ImmutableSet<SourcePath>>,Tool,Tool,Tool,Tool,Optional<AppleAssetCatalog>,Set<BuildTarget>,AppleSdk,CodeSignIdentityStore,Optional<Tool>,ProvisioningProfileStore,DebugInfoFormat)"
"--large-name225--","CxxLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,Predicate<CxxPlatform>,Function<? super CxxPlatform,ImmutableMultimap<CxxSource.Type,String>>,Function<? super CxxPlatform,ImmutableList<String>>,Optional<Pattern>,Function<? super CxxPlatform,ImmutableSet<Path>>,Linkage,boolean,Optional<String>,ImmutableSortedSet<BuildTarget>,boolean)"
"--large-name103--","CxxLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,ImmutableMultimap<CxxSource.Type,String>,ImmutableList<String>,ImmutableList<Pair<String,ImmutableList<String>>>,ImmutableList<Path>,boolean,Optional<String>,ImmutableSortedSet<BuildTarget>)"
"--large-name326--","AndroidBinary(BuildRuleParams,SourcePathResolver,Optional<SourcePath>,String,Keystore,PackageType,DexSplitMode,Set<BuildTarget>,ProGuardObfuscateStep.SdkProguardType,Optional<Integer>,Optional<SourcePath>,ResourceCompressionMode,Set<NdkCxxPlatforms.TargetCpuType>,ResourceFilter,EnumSet<ExopackageMode>,Function<String,String>,Optional<String>,ImmutableSortedSet<JavaLibrary>,AndroidGraphEnhancementResult,Optional<Boolean>,Optional<SourcePath>,Optional<SourcePath>,Optional<Integer>,ListeningExecutorService,Optional<Boolean>,Optional<Boolean>)"
"--large-name393--","createCxxLinkableBuildRule(CxxPlatform,BuildRuleParams,SourcePathResolver,BuildTarget,Linker.LinkType,Optional<String>,Path,ImmutableList<Arg>,Linker.LinkableDepType,Iterable<? extends NativeLinkable>,Optional<Linker.CxxRuntimeType>,Optional<SourcePath>,ImmutableSet<BuildTarget>,ImmutableSet<FrameworkPath>)"
"--large-name85--","createStaticLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMap<String,SourcePath>,ImmutableMap<String,SourcePath>,ImmutableMultimap<CxxSource.Type,String>,ImmutableList<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableList<Path>)"
"--large-name31--","Build(DependencyGraph,Optional<TargetDevice>,ProjectFilesystem,AndroidDirectoryResolver,BuildEngine,ArtifactCache,int,JavaPackageFinder,Console,long,boolean,boolean,boolean,BuildDependencies,BuckEventBus,Platform,ImmutableMap<String,String>)"
"--large-name259--","buildWorkspaceSchemes(Optional<BuildTarget>,TargetGraph,boolean,boolean,ImmutableSet<TargetNode<AppleTestDescription.Arg>>,String,XcodeWorkspaceConfigDescription.Arg,ImmutableMap.Builder<String,XcodeWorkspaceConfigDescription.Arg>,ImmutableSetMultimap.Builder<String,Optional<TargetNode<?>>>,ImmutableSetMultimap.Builder<String,TargetNode<?>>,ImmutableMultimap.Builder<AppleTestBundleParamsKey,TargetNode<AppleTestDescription.Arg>>,ImmutableSetMultimap.Builder<String,TargetNode<AppleTestDescription.Arg>>)"
"--large-name135--","createSharedLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMap<String,SourcePath>,ImmutableMap<String,SourcePath>,ImmutableMultimap<CxxSource.Type,String>,ImmutableList<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableList<String>,ImmutableList<Path>,Optional<String>,CxxSourceRuleFactory.Strategy,Optional<Linker.CxxRuntimeType>,Linker.LinkType,Linker.LinkableDepType,Optional<SourcePath>)"
"--large-name50--","DefaultJavaLibrary(BuildRuleParams,SourcePathResolver,Set<? extends SourcePath>,Set<? extends SourcePath>,Optional<Path>,ImmutableList<String>,ImmutableSortedSet<BuildRule>,ImmutableSortedSet<BuildRule>,ImmutableSet<Path>,JavacOptions,Optional<Path>)"
"--large-name398--","Build(ActionGraph,BuildRuleResolver,Optional<TargetDevice>,Supplier<AndroidPlatformTarget>,BuildEngine,ArtifactCache,JavaPackageFinder,Console,long,boolean,boolean,boolean,BuckEventBus,Platform,ImmutableMap<String,String>,ObjectMapper,Clock,ConcurrencyLimit,Optional<AdbOptions>,Optional<TargetDeviceOptions>,Map<ExecutionContext.ExecutorPool,ExecutorService>)"
"--large-name145--","writeWorkspaceSchemes(String,Path,ImmutableMap<String,XcodeWorkspaceConfigDescription.Arg>,ImmutableSetMultimap<String,Optional<TargetNode<?>>>,ImmutableSetMultimap<String,TargetNode<?>>,ImmutableSetMultimap<String,TargetNode<AppleTestDescription.Arg>>,ImmutableMap<PBXTarget,Path>,Iterable<PBXTarget>,Function<TargetNode<?>,Collection<PBXTarget>>,Function<BuildTarget,PBXTarget>)"
"--large-name22--","AndroidInstrumentationApk(BuildRuleParams,SourcePath,AndroidBinaryRule,ImmutableSet<BuildRule>,FilteredResourcesProvider,UberRDotJava,Optional<PackageStringAssets>,AaptPackageResources,AndroidResourceDepsFinder,ImmutableSortedSet<BuildRule>)"
"--large-name363--","CxxInferCapture(BuildRuleParams,SourcePathResolver,Optional<ImmutableList<String>>,Optional<ImmutableList<String>>,Optional<ImmutableList<String>>,Optional<ImmutableList<String>>,SourcePath,AbstractCxxSource.Type,Path,ImmutableSet<Path>,ImmutableSet<Path>,ImmutableSet<Path>,ImmutableSet<FrameworkPath>,RuleKeyAppendableFunction<FrameworkPath,Path>,Optional<SourcePath>,CxxInferTools,DebugPathSanitizer)"
"--large-name253--","createCxxLinkableBuildRule(TargetGraph,CxxPlatform,BuildRuleParams,SourcePathResolver,ImmutableList<String>,BuildTarget,Linker.LinkType,Optional<String>,Path,Iterable<SourcePath>,Iterable<SourcePath>,Linker.LinkableDepType,Iterable<? extends BuildRule>,Optional<Linker.CxxRuntimeType>,Optional<SourcePath>,ImmutableSet<BuildRule>)"
"--large-name283--","createCxxLinkableBuildRule(TargetGraph,CxxPlatform,BuildRuleParams,SourcePathResolver,ImmutableList<String>,BuildTarget,Linker.LinkType,Optional<String>,Path,Iterable<SourcePath>,Iterable<SourcePath>,Linker.LinkableDepType,Iterable<? extends BuildRule>,Optional<Linker.CxxRuntimeType>,Optional<SourcePath>,ImmutableSet<BuildTarget>)"
"--large-name436--","CxxBoostTest(BuildRuleParams,SourcePathResolver,BuildRule,Tool,Supplier<ImmutableMap<String,String>>,Supplier<ImmutableList<String>>,Supplier<ImmutableSortedSet<BuildRule>>,ImmutableSet<Label>,ImmutableSet<String>,ImmutableSet<BuildRule>,boolean,Optional<Long>)"
"--large-name394--","CxxLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,Iterable<? extends BuildRule>,Predicate<CxxPlatform>,Function<? super CxxPlatform,ImmutableMultimap<CxxSource.Type,String>>,Function<? super CxxPlatform,ImmutableList<Arg>>,Function<? super CxxPlatform,NativeLinkableInput>,Optional<Pattern>,ImmutableSet<FrameworkPath>,ImmutableSet<FrameworkPath>,Linkage,boolean,Optional<String>,ImmutableSortedSet<BuildTarget>,boolean)"
"--large-name319--","build(Flavor,CxxBuckConfig,Tool,Preprocessor,Compiler,Compiler,Preprocessor,Preprocessor,Linker,Iterable<String>,Tool,Archiver,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,String,Optional<DebugPathSanitizer>,ImmutableMap<String,String>)"
"--large-name199--","build(Flavor,CxxBuckConfig,Tool,Preprocessor,Compiler,Compiler,Preprocessor,Preprocessor,Linker,Iterable<String>,Tool,Archiver,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,Optional<Tool>,Optional<Tool>,String,Optional<DebugPathSanitizer>,ImmutableMap<String,String>)"
"--large-name182--","build(Flavor,CxxBuckConfig,Tool,Tool,Compiler,Compiler,Tool,Tool,Linker,Linker,Iterable<String>,Tool,Archiver,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,ImmutableList<String>,Optional<Tool>,Optional<Tool>,String,Optional<DebugPathSanitizer>,ImmutableMap<String,String>)"
"--large-name297--","AppleBundle(BuildRuleParams,SourcePathResolver,Either<AppleBundleExtension,String>,Optional<String>,SourcePath,Map<String,String>,Optional<BuildRule>,AppleBundleDestinations,Set<SourcePath>,Set<SourcePath>,Set<SourcePath>,ImmutableMap<SourcePath,String>,Optional<ImmutableSet<SourcePath>>,Tool,Tool,Tool,Optional<AppleAssetCatalog>,Set<BuildTarget>,AppleSdk,CodeSignIdentityStore,Optional<Path>,DebugInfoFormat)"
"--large-name518--","CxxBoostTest(BuildRuleParams,SourcePathResolver,BuildRule,Tool,Supplier<ImmutableMap<String,String>>,Supplier<ImmutableList<String>>,ImmutableSortedSet<SourcePath>,Supplier<ImmutableSortedSet<BuildRule>>,ImmutableSet<Label>,ImmutableSet<String>,boolean,Optional<Long>)"
"--large-name301--","CommandRunnerParams(Console,Cell,Supplier<AndroidPlatformTarget>,ArtifactCache,BuckEventBus,ParserNg,Platform,ImmutableMap<String,String>,JavaPackageFinder,ObjectMapper,Clock,Optional<ProcessManager>,Optional<WebServer>,BuckConfig,FileHashCache)"
"--large-name411--","createBuild(BuckConfig,ActionGraph,BuildRuleResolver,Supplier<AndroidPlatformTarget>,BuildEngine,ArtifactCache,Console,BuckEventBus,Optional<TargetDevice>,Platform,ImmutableMap<String,String>,ObjectMapper,Clock,Optional<AdbOptions>,Optional<TargetDeviceOptions>,Map<ExecutionContext.ExecutorPool,ListeningExecutorService>)"
"--large-name357--","DefaultJavaLibrary(BuildRuleParams,SourcePathResolver,Set<? extends SourcePath>,Set<? extends SourcePath>,Optional<Path>,Optional<SourcePath>,ImmutableList<String>,ImmutableSortedSet<BuildRule>,ImmutableSortedSet<BuildRule>,SourcePath,ImmutableSet<Path>,JavacStepFactory,Optional<Path>,Optional<String>,ImmutableSortedSet<BuildTarget>)"
"--large-name120--","addExtraWorkspaceSchemes(TargetGraph,ImmutableSortedMap<String,BuildTarget>,ImmutableMap.Builder<String,XcodeWorkspaceConfigDescription.Arg>,ImmutableSetMultimap.Builder<String,Optional<TargetNode<?>>>,ImmutableSetMultimap.Builder<String,TargetNode<AppleTestDescription.Arg>>)"
"--large-name285--","JUnitStep(ProjectFilesystem,ImmutableSet<String>,Iterable<String>,List<String>,Map<String,String>,Optional<Path>,Path,Optional<Path>,boolean,boolean,BuildId,TestSelectorList,boolean,TestType,Optional<Long>,Optional<Level>,Optional<Level>,Optional<String>,Optional<String>)"
"--large-name300--","CxxTest(BuildRuleParams,SourcePathResolver,Supplier<ImmutableMap<String,String>>,Supplier<ImmutableList<String>>,Supplier<ImmutableSortedSet<BuildRule>>,ImmutableSet<Label>,ImmutableSet<String>,ImmutableSet<BuildRule>,boolean,Optional<Long>)"
"--large-name104--","CxxLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,Function<CxxPlatform,ImmutableMultimap<CxxSource.Type,String>>,Function<CxxPlatform,ImmutableList<String>>,ImmutableList<Path>,boolean,Optional<String>,ImmutableSortedSet<BuildTarget>)"
"--large-name329--","createSharedLibrary(TargetGraph,BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMultimap<CxxSource.Type,String>,ImmutableMultimap<CxxSource.Type,String>,Optional<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableList<String>,ImmutableSet<FrameworkPath>,Optional<String>,CxxPreprocessMode,Linker.LinkType,Linker.LinkableDepType,Optional<SourcePath>,ImmutableSet<BuildTarget>)"
"--large-name509--","RobolectricTest(BuildRuleParams,SourcePathResolver,Set<SourcePath>,Set<SourcePath>,Set<Label>,Set<String>,Optional<SourcePath>,SourcePath,ImmutableSet<Path>,JavacOptions,JavaOptions,List<String>,Map<String,String>,ImmutableSet<BuildRule>,Optional<Path>,Optional<String>,Optional<DummyRDotJava>,Optional<Long>,ImmutableMap<String,String>,boolean,Optional<Level>,Optional<Level>,Optional<Path>)"
"--large-name311--","createStaticLibrary(TargetGraph,BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMap<String,SourcePath>,ImmutableMap<String,SourcePath>,ImmutableMultimap<CxxSource.Type,String>,ImmutableMultimap<CxxSource.Type,String>,Optional<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableSet<FrameworkPath>,CxxPreprocessMode,CxxSourceRuleFactory.PicType)"
"--large-name340--","createSharedLibrary(BuildRuleParams,BuildRuleResolver,SourcePathResolver,CxxPlatform,ImmutableMultimap<CxxSource.Type,String>,ImmutableMultimap<CxxSource.Type,String>,Optional<SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableMap<Path,SourcePath>,ImmutableList<String>,ImmutableMap<String,CxxSource>,ImmutableList<String>,ImmutableSet<FrameworkPath>,Optional<String>,CxxPreprocessMode,Linker.LinkType,Linker.LinkableDepType,Optional<SourcePath>,ImmutableSet<BuildTarget>)"
"--large-name331--","CxxPreprocessAndCompileStep(ProjectFilesystem,Operation,Path,Path,Path,CxxSource.Type,Optional<ImmutableMap<String,String>>,Optional<ImmutableList<String>>,Optional<ImmutableMap<String,String>>,Optional<ImmutableList<String>>,ImmutableMap<Path,Path>,DebugPathSanitizer,Optional<Function<String,Iterable<String>>>)"
